REFNO	NAME	NAMEORDER
10119	Ferrajoli A	20
10119	Garcia-Manero G	19
10119	Giles F	16
10119	Kantarjian H	13
10119	Kornblau S	23
10119	O'Brien S	15
10119	Rios MB	17
10119	Talpaz M	14
10119	Verstovsek S	21
10119	White K	18
10119	Wierda W	22
1011	Arapakis G	3
1011	Ferti A	1
1011	Panani A	2
1011	Raptis S	4
10120	Maillard N	2
10120	Voutsadakis IA	1
10121	Arai Y	8
10121	Maki K	7
10121	Mitani K	10
10121	Nakamura F	6
10121	Nakamura Y	9
10122	Braziel RM	20
10122	Druker BJ	14
10122	Gatter KM	12
10122	Lawce H	17
10122	Loriaux M	13
10122	Magenis RE	16
10122	Mauro MJ	18
10122	Maziarz RT	19
10122	O'Dwyer ME	11
10122	Olson SB	15
10123	Albano F	14
10123	Anelli L	15
10123	Cuneo A	19
10123	Foa R	21
10123	Liso V	23
10123	Mancini M	18
10123	Manolelli F	22
10123	Pane F	20
10123	Rocchi M	24
10123	Specchia G	13
10123	Storlazzi CT	16
10123	Zagaria A	17
10124	Andrieux J	11
10124	Barouk-Simonet E	10
10124	Copin M-C	12
10124	Grardel-Duflos N	13
10124	Huyghe P	14
10124	Lai J-L	18
10124	Patte J-H	15
10124	Preudhomme C	16
10124	Quesnel B	17
10125	Bendandi M	13
10125	Calasanz MJ	11
10125	Lecumberri R	10
10125	Odero MD	12
10125	Panizo C	8
10125	Patino A	9
10125	Rocha E	14
10126	Fan YS	1
10126	Rizkalla K	2
10127	Debiec-Rychter M	1
10127	Hagemeijer A	3
10127	Marynen P	2
10127	Pauwels P	4
10128	Biondi A	8
10128	Cazzaniga G	7
10128	Haas OA	6
10128	Harbott J	5
10128	Hughes J	2
10128	Kearney L	10
10128	Kempski H	9
10128	Nakabayashi K	4
10128	Scherer SW	3
10128	Tosi S	1
10129	Ki C-S	2
10129	Kim E-J	6
10129	Kim H-J	1
10129	Kim S-H	7
10129	Koo H-H	4
10129	Park Q	3
10129	Yoo K-H	5
1012	Ichimaru M	8
1012	Kusano M	7
1012	Nagamine M	4
1012	Sadamori N	1
